Starting live trading engine...
Starting live trading engine...
Starting live trading engine...
Starting live trading engine...
Starting live trading engine...
[2025-11-22T16:25:33.945604+00:00] Status: success | New trades: 0 | Total: 76
[2025-11-22T16:25:34.926703+00:00] Status: success | New trades: 0 | Total: 76
[2025-11-22T16:25:34.949237+00:00] Status: success | New trades: 0 | Total: 76
[2025-11-22T16:25:35.932882+00:00] Status: success | New trades: 0 | Total: 76
[2025-11-22T16:25:35.963258+00:00] Status: success | New trades: 2 | Total: 78
[2025-11-22T16:25:36.947745+00:00] Status: success | New trades: 2 | Total: 78
[2025-11-22T16:25:36.970238+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:37.954198+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:37.976647+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:38.964756+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:38.983362+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:39.969250+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:39.989635+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:40.977098+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:41.011738+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:41.989103+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:42.018751+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:42.990308+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:43.020289+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:44.002047+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:44.029873+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:45.010417+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:45.037683+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:46.020847+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:46.060321+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:47.035508+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:47.062714+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:48.043035+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:48.071390+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:49.048980+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:49.075096+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:50.057072+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:50.080796+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:51.069110+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:51.093103+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:52.088526+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:52.098272+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:53.097995+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:53.106196+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:54.106452+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:54.115357+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:55.115827+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:55.123000+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:56.121471+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:56.134399+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:57.140710+00:00] Status: success | New trades: 0 | Total: 78
Error in trading cycle: [Errno 2] No such file or directory: 'logs_live/live_trades.csv.tmp' -> 'logs_live/live_trades.csv'
[2025-11-22T16:25:58.150135+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:25:59.158695+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:00.167716+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:01.176552+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:02.149121+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:02.193590+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:03.157064+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:03.197282+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:04.166173+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:04.202038+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:05.174564+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:05.211825+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:06.182839+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:06.220939+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:07.199332+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:07.237493+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:08.206869+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:08.244530+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:09.215429+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:09.254154+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:10.222017+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:10.262449+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:11.231172+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:11.271377+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:12.249776+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:12.293109+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:13.255420+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:13.300706+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:14.261869+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:14.308547+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:15.270042+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:15.316321+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:16.280960+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:16.322339+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:17.296114+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:17.332614+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:18.302646+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:18.338917+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:19.312278+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:19.346025+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:20.316740+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:20.351012+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:21.321571+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:21.354846+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:22.338719+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:22.367587+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:23.349246+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:23.374363+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:24.356837+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:24.379618+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:25.365657+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:25.385952+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:26.374654+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:26.392881+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:27.393018+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:27.401908+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:28.401945+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:28.407979+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:29.411166+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:29.415748+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:30.416239+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:30.423314+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:31.423952+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:31.430659+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:32.442217+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:32.445154+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:33.447936+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:33.451947+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:34.451559+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:34.454038+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:35.457212+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:35.459710+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:36.466495+00:00] Status: success | New trades: 0 | Total: 78
Error in trading cycle: [Errno 2] No such file or directory: 'logs_live/live_trades.csv.tmp' -> 'logs_live/live_trades.csv'
[2025-11-22T16:26:37.486411+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:38.492608+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:39.498279+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:40.506882+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:41.483834+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:41.515578+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:42.489207+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:42.533692+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:43.499052+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:43.541081+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:44.504227+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:44.547464+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:45.510409+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:45.552619+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:46.530809+00:00] Status: success | New trades: 10 | Total: 88
[2025-11-22T16:26:46.559506+00:00] Status: success | New trades: 0 | Total: 78
[2025-11-22T16:26:47.537076+00:00] Status: success | New trades: 0 | Total: 88
[2025-11-22T16:26:47.568148+00:00] Status: success | New trades: 13 | Total: 91
[2025-11-22T16:26:48.545636+00:00] Status: success | New trades: 0 | Total: 88
[2025-11-22T16:26:48.573029+00:00] Status: success | New trades: 0 | Total: 91
Error in trading cycle: Expecting value: line 1 column 1 (char 0)
[2025-11-22T16:26:54.123571+00:00] Status: success | New trades: 0 | Total: 91
